Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
3124;11400153317;"Tissue Engineering - Part C: Methods";journal;"19373392, 19373384";"Mary Ann Liebert Inc.";No;No;0,621;Q2;92;52;172;2368;440;163;2,63;45,54;45,95;0;6;United States;Northern America;"Mary Ann Liebert Inc.";"2008-2025";"Biomedical Engineering (Q2); Medicine (miscellaneous) (Q2); Bioengineering (Q3)";"Chemical Engineering; Engineering; Medicine"
3125;21100198231;"Psychosis";journal;"17522439, 17522447";"Routledge";No;No;0,621;Q3;34;65;106;2503;182;100;1,39;38,51;57,99;2;6;United States;Northern America;"Routledge";"2009-2025";"Psychiatry and Mental Health (Q3)";"Medicine"
3126;17755;"Domestic Animal Endocrinology";journal;"18790054, 07397240";"Elsevier Inc.";No;No;0,620;Q1;84;39;191;2153;449;188;2,49;55,21;42,41;0;8;United States;Northern America;"Elsevier Inc.";"1984-2025";"Animal Science and Zoology (Q1); Food Animals (Q2); Endocrinology (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Veterinary"
3127;22099;"Environmental and Molecular Mutagenesis";journal;"10982280, 08936692";"Wiley-Liss Inc.";No;No;0,620;Q2;102;50;128;3474;294;123;2,43;69,48;50,74;0;22;United States;Northern America;"Wiley-Liss Inc.";"1987-2025";"Epidemiology (Q2); Health, Toxicology and Mutagenesis (Q2); Genetics (clinical) (Q3)";"Environmental Science; Medicine"
3128;21101092530;"IET Quantum Communication";journal;"26328925";"John Wiley and Sons Inc";Yes;No;0,620;Q2;13;49;66;2341;253;60;3,32;47,78;20,48;1;7;United States;Northern America;"John Wiley and Sons Inc";"2020-2025";"Computational Theory and Mathematics (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Theoretical Computer Science (Q2)";"Computer Science; Engineering; Mathematics"
3129;21100788306;"Physical Review Accelerators and Beams";journal;"24699888";"American Physical Society";Yes;Yes;0,620;Q2;40;188;533;8066;953;531;1,77;42,90;20,20;0;8;United States;Northern America;"American Physical Society";"2016-2025";"Nuclear and High Energy Physics (Q2); Physics and Astronomy (miscellaneous) (Q2); Surfaces and Interfaces (Q2)";"Physics and Astronomy"
3130;14805;"Steroids";journal;"0039128X, 18785867";"Elsevier Inc.";No;No;0,620;Q2;117;99;313;6712;796;310;2,50;67,80;46,30;0;44;United States;Northern America;"Elsevier Inc.";"1963-2025";"Clinical Biochemistry (Q2); Organic Chemistry (Q2); Pharmacology (Q2); Biochemistry (Q3); Endocrinology (Q3); Molecular Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
3131;21100841760;"Howard Journal of Crime and Justice";journal;"20591101, 20591098";"John Wiley &amp; Sons Inc.";No;No;0,619;Q1;18;28;103;2026;196;98;1,92;72,36;69,09;1;9;United States;Northern America;"John Wiley &amp; Sons Inc.";"2016-2025";"Law (Q1)";"Social Sciences"
3132;21100847942;"Flexible and Printed Electronics";journal;"20588585";"Institute of Physics Publishing";Yes;No;0,619;Q2;37;67;279;3174;926;278;3,50;47,37;26,56;0;19;United States;Northern America;"Institute of Physics Publishing";"2016-2025";"Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2)";"Engineering; Materials Science"
3133;28185;"Journal for Specialists in Pediatric Nursing";journal;"15390136";"Wiley-Blackwell";No;No;0,619;Q2;49;18;81;699;190;81;2,38;38,83;83,58;0;6;United States;Northern America;"Wiley-Blackwell";"2002-2025";"Pediatrics (Q2)";"Nursing"
3134;16672;"Journal of Child and Adolescent Psychopharmacology";journal;"10445463, 15578992";"Mary Ann Liebert Inc.";No;No;0,619;Q2;95;85;235;2752;372;183;1,65;32,38;52,45;0;13;United States;Northern America;"Mary Ann Liebert Inc.";"1990-2025";"Pediatrics, Perinatology and Child Health (Q2); Pharmacology (medical) (Q2); Psychiatry and Mental Health (Q3)";"Medicine"
3135;27010;"Photochemistry and Photobiology";journal;"17511097, 00318655";"Wiley-Blackwell";No;No;0,619;Q2;150;208;478;10980;1465;449;2,95;52,79;41,48;1;50;United States;Northern America;"Wiley-Blackwell";"1962-2025";"Medicine (miscellaneous) (Q2); Physical and Theoretical Chemistry (Q2); Radiation (Q2); Biochemistry (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine; Physics and Astronomy"
3136;21101087141;"Plant-Environment Interactions";journal;"25756265";"John Wiley and Sons Inc";Yes;No;0,619;Q2;10;47;73;2981;164;70;2,33;63,43;34,78;0;20;United States;Northern America;"John Wiley and Sons Inc";"2020-2025";"Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)";"Agricultural and Biological Sciences"
3137;3500148021;"Comparative Biochemistry and Physiology -Part A : Molecular and Integrative Physiology";journal;"15314332, 10956433";"Elsevier Inc.";No;No;0,618;Q1;132;140;436;8685;1103;427;2,32;62,04;43,76;0;27;United States;Northern America;"Elsevier Inc.";"1960-1964, 1966, 1968-1969, 1971-1979, 1981, 1985, 1989, 1992, 1994, 1998-2025";"Animal Science and Zoology (Q1); Aquatic Science (Q2); Biochemistry (Q3); Molecular Biology (Q3); Physiology (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
3138;5700163050;"Qualitative Social Work";journal;"14733250";"SAGE Publications Inc.";No;No;0,618;Q1;59;92;291;3757;665;257;2,33;40,84;77,21;0;43;United States;Northern America;"SAGE Publications Inc.";"2002-2025";"Social Sciences (miscellaneous) (Q1); Health (social science) (Q2); Social Work (Q2)";"Social Sciences"
3139;19835;"Current Sports Medicine Reports";journal;"15378918, 1537890X";"Lippincott Williams and Wilkins Ltd.";No;No;0,618;Q2;69;83;321;1220;536;285;1,05;14,70;32,00;0;7;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"2002-2025";"Medicine (miscellaneous) (Q2); Orthopedics and Sports Medicine (Q2); Public Health, Environmental and Occupational Health (Q2); Sports Science (Q3)";"Health Professions; Medicine"
3140;21101178594;"Health Care Science";journal;"27711749, 27711757";"John Wiley and Sons Inc";Yes;No;0,618;Q2;7;42;59;1916;176;47;2,98;45,62;39,90;0;21;United States;Northern America;"John Wiley and Sons Inc";"2022-2025";"Epidemiology (Q2); Health Policy (Q2); Public Health, Environmental and Occupational Health (Q2)";"Medicine"
3141;21100236214;"ACM/IEEE International Conference on Human-Robot Interaction";conference and proceedings;"21672148";"IEEE Computer Society";No;No;0,618;-;82;414;738;12802;2077;726;2,80;30,92;41,27;2;60;United States;Northern America;"IEEE Computer Society";"2013-2024";"Artificial Intelligence; Electrical and Electronic Engineering; Human-Computer Interaction";"Computer Science; Engineering"
3142;17900156729;"Journal of Human Capital";journal;"19328664, 19328575";"University of Chicago Press";No;No;0,617;Q1;29;17;51;1339;76;51;0,70;78,76;40,48;3;12;United States;Northern America;"University of Chicago Press";"2009-2024";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
3143;14002;"Palaeontologia Electronica";journal;"10948074, 19353952";"Coquina Press";Yes;Yes;0,617;Q2;49;52;117;4933;212;117;1,50;94,87;27,59;1;5;United States;Northern America;"Coquina Press";"1998-2024";"Oceanography (Q2); Paleontology (Q2)";"Earth and Planetary Sciences"
3144;21100896304;"World Neurosurgery: X";journal;"25901397";"Elsevier Inc.";Yes;No;0,617;Q2;16;153;110;5196;213;104;1,95;33,96;23,52;0;34;United States;Northern America;"Elsevier Inc.";"2019-2025";"Surgery (Q2); Neurology (clinical) (Q3)";"Medicine"
3145;21101058963;"Methodological Innovations";journal;"20597991";"SAGE Publications Inc.";Yes;No;0,616;Q1;26;21;91;944;247;91;2,15;44,95;63,08;1;7;United States;Northern America;"SAGE Publications Inc.";"2016-2025";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q2)";"Social Sciences"
3146;14580;"Ecological Research";journal;"14401703, 09123814";"Springer Nature";No;No;0,616;Q2;87;106;221;6286;446;207;1,91;59,30;27,76;1;47;United States;Northern America;"Springer Nature";"1986-2025";"Ecology, Evolution, Behavior and Systematics (Q2)";"Agricultural and Biological Sciences"
3147;27769;"Journal of Forensic Sciences";journal;"00221198";"Wiley-Blackwell";No;No;0,616;Q2;117;244;778;7914;1531;676;2,01;32,43;47,99;0;44;United States;Northern America;"Wiley-Blackwell";"1961, 1963-2025";"Pathology and Forensic Medicine (Q2); Genetics (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
3148;12100157240;"Journal of Public Affairs";journal;"14791854, 14723891";"Wiley-Blackwell";No;No;0,615;Q1;46;73;680;5248;2642;661;3,53;71,89;35,48;0;52;United States;Northern America;"Wiley-Blackwell";"2008-2025";"Political Science and International Relations (Q1); Public Administration (Q2)";"Social Sciences"
3149;15600154709;"Advances in Urology";journal;"16876377, 16876369";"John Wiley and Sons Ltd";Yes;No;0,615;Q2;40;8;35;220;85;35;2,60;27,50;24,14;0;3;United States;Northern America;"John Wiley and Sons Ltd";"2009-2024";"Obstetrics and Gynecology (Q2); Urology (Q2)";"Medicine"
3150;27043;"American Family Physician";journal;"0002838X, 15320650";"American Academy of Family Physicians";No;No;0,615;Q2;158;349;1171;4762;1567;707;0,88;13,64;52,10;0;105;United States;Northern America;"American Academy of Family Physicians";"1970-2025";"Family Practice (Q2); Medicine (miscellaneous) (Q2)";"Medicine"
3151;28703;"Mathematics and Mechanics of Solids";journal;"17413028, 10812865";"SAGE Publications Inc.";No;No;0,615;Q2;57;187;395;7778;888;386;2,10;41,59;22,37;0;3;United States;Northern America;"SAGE Publications Inc.";"1996-2025";"Materials Science (miscellaneous) (Q2); Mathematics (miscellaneous) (Q2); Mechanics of Materials (Q2)";"Engineering; Materials Science; Mathematics"
3152;21100463109;"Geriatric Orthopaedic Surgery and Rehabilitation";journal;"21514593, 21514585";"SAGE Publications Inc.";Yes;No;0,614;Q2;40;48;254;1696;449;240;1,48;35,33;31,34;0;6;United States;Northern America;"SAGE Publications Inc.";"2010-2025";"Orthopedics and Sports Medicine (Q2); Rehabilitation (Q2); Surgery (Q2); Geriatrics and Gerontology (Q3)";"Medicine"
3153;14586;"Social Service Review";journal;"15375404, 00377961";"University of Chicago Press";No;No;0,614;Q2;70;15;59;1120;138;57;2,31;74,67;58,54;0;10;United States;Northern America;"University of Chicago Press";"1973-1983, 1987, 1996-2024";"Social Work (Q2); Sociology and Political Science (Q2)";"Social Sciences"
3154;19700186855;"ACM Transactions on Accessible Computing";journal;"19367228";"Association for Computing Machinery (ACM)";No;No;0,613;Q2;41;10;85;823;369;78;4,15;82,30;38,64;0;5;United States;Northern America;"Association for Computing Machinery (ACM)";"2008-2024";"Computer Science Applications (Q2); Human-Computer Interaction (Q3)";"Computer Science"
3155;21101132920;"Advances in Redox Research";journal;"26671379";"Elsevier Inc.";Yes;No;0,613;Q2;11;26;72;1944;207;72;2,90;74,77;36,36;0;11;United States;Northern America;"Elsevier Inc.";"2021-2025";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2)";"Biochemistry, Genetics and Molecular Biology"
3156;145617;"Cardiovascular Revascularization Medicine";journal;"18780938, 15538389";"Elsevier Inc.";No;No;0,613;Q2;47;340;1042;7117;1268;710;1,20;20,93;18,72;0;116;United States;Northern America;"Elsevier Inc.";"2005-2025";"Cardiology and Cardiovascular Medicine (Q2); Medicine (miscellaneous) (Q2)";"Medicine"
3157;16954;"Clinical Biochemistry";journal;"00099120, 18732933";"Elsevier Inc.";No;No;0,613;Q2;130;81;465;3551;1025;430;2,13;43,84;47,26;0;33;United States;Northern America;"Elsevier Inc.";"1967-1968, 1970-2025";"Clinical Biochemistry (Q2); Medicine (miscellaneous) (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
3158;15565;"Journal of Loss and Trauma";journal;"15325024, 15325032";"Routledge";No;No;0,612;Q1;58;87;210;4989;449;151;2,12;57,34;66,12;0;26;United States;Northern America;"Routledge";"1996-2025";"Social Sciences (miscellaneous) (Q1); Social Psychology (Q2); Psychiatry and Mental Health (Q3)";"Medicine; Psychology; Social Sciences"
3159;23849;"Journal of Cardiovascular Nursing";journal;"08894655, 15505049";"Lippincott Williams and Wilkins Ltd.";No;No;0,611;Q1;73;126;271;5507;562;244;2,19;43,71;68,73;0;51;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1986-2025";"Advanced and Specialized Nursing (Q1); Cardiology and Cardiovascular Medicine (Q2)";"Medicine; Nursing"
3160;5600155214;"Journal of the American Academy of Religion";journal;"14774585, 00027189";"Oxford University Press";No;No;0,611;Q1;40;18;146;1432;111;142;0,54;79,56;38,10;0;1;United States;Northern America;"Oxford University Press";"1933-2024";"Religious Studies (Q1)";"Arts and Humanities"
3161;21100358106;"IEEE Power Electronics Magazine";trade journal;"23299215, 23299207";"IEEE Power Electronics Society";No;No;0,611;Q2;36;64;185;457;269;178;1,58;7,14;25,51;0;22;United States;Northern America;"IEEE Power Electronics Society";"2014-2024";"Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Energy Engineering and Power Technology (Q2)";"Energy; Engineering"
3162;21100847273;"Molecular Genetics and Genomic Medicine";journal;"23249269";"John Wiley and Sons Inc";Yes;No;0,611;Q3;46;238;664;7197;1246;651;1,78;30,24;52,84;0;38;United States;Northern America;"John Wiley and Sons Inc";"2013-2025";"Genetics (Q3); Genetics (clinical) (Q3); Molecular Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
3163;16156;"Marriage and Family Review";journal;"15409635, 01494929";"Routledge";No;No;0,610;Q1;54;33;92;1847;181;83;1,82;55,97;49,15;0;9;United States;Northern America;"Routledge";"1978-2025";"Social Sciences (miscellaneous) (Q1)";"Social Sciences"
3164;9500154114;"Advances in Theoretical and Mathematical Physics";journal;"10950753, 10950761";"International Press, Inc.";No;No;0,610;Q2;85;21;159;1386;193;159;1,09;66,00;10,87;0;0;United States;Northern America;"International Press, Inc.";"1997-2024";"Mathematics (miscellaneous) (Q2); Physics and Astronomy (miscellaneous) (Q2)";"Mathematics; Physics and Astronomy"
3165;19038;"Microcirculation";journal;"10739688, 15498719";"Wiley-Blackwell";No;No;0,610;Q2;96;47;140;2900;292;137;1,82;61,70;35,34;0;14;United States;Northern America;"Wiley-Blackwell";"1981-1982, 1994-2025";"Cardiology and Cardiovascular Medicine (Q2); Molecular Biology (Q3); Physiology (Q3); Physiology (medical) (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
3166;21100921043;"Journal of European Competition Law and Practice";journal;"20417772, 20417764";"Oxford University Press";No;No;0,609;Q1;18;69;235;4382;249;209;0,74;63,51;44,44;2;5;United States;Northern America;"Oxford University Press";"2010-2024";"Law (Q1)";"Social Sciences"
3167;23536;"Seminars in Orthodontics";journal;"10738746";"W.B. Saunders";No;No;0,609;Q1;54;92;119;4262;246;110;1,66;46,33;41,60;0;5;United States;Northern America;"W.B. Saunders";"1995-2025";"Orthodontics (Q1)";"Dentistry"
3168;18447;"Cell Biochemistry and Biophysics";journal;"15590283, 10859195";"Springer";No;No;0,608;Q2;94;347;214;22355;488;211;2,45;64,42;47,19;0;192;United States;Northern America;"Springer";"1979, 1990, 1995, 1997-2025";"Biophysics (Q2); Medicine (miscellaneous) (Q2); Biochemistry (Q3); Cell Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
3169;6000161177;"HERD";journal;"21675112, 19375867";"SAGE Publications Inc.";No;No;0,608;Q2;43;95;288;4018;664;259;2,14;42,29;56,25;0;24;United States;Northern America;"SAGE Publications Inc.";"2007-2025";"Critical Care and Intensive Care Medicine (Q2); Public Health, Environmental and Occupational Health (Q2)";"Medicine"
3170;19236;"Journal of Clinical Rheumatology";journal;"10761608, 15367355";"Lippincott Williams and Wilkins Ltd.";No;No;0,608;Q2;63;163;863;3635;1119;474;1,62;22,30;51,92;0;39;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1995-2025";"Medicine (miscellaneous) (Q2); Rheumatology (Q3)";"Medicine"
3171;14823;"Social Cognition";journal;"0278016X";"Guilford Publications";No;No;0,608;Q2;92;22;88;1371;111;87;0,96;62,32;43,14;0;3;United States;Northern America;"Guilford Publications";"1996-2024";"Social Psychology (Q2); Developmental and Educational Psychology (Q3)";"Psychology"
3172;25524;"Social Marketing Quarterly";journal;"15394093, 15245004";"SAGE Publications Inc.";No;No;0,608;Q2;36;17;62;1086;147;56;1,56;63,88;41,03;0;9;United States;Northern America;"SAGE Publications Inc.";"1994-2025";"Economics and Econometrics (Q2); Marketing (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
3173;21101147415;"American Heart Journal Plus: Cardiology Research and Practice";journal;"26666022";"Elsevier Inc.";Yes;No;0,607;Q2;14;133;322;4231;543;293;1,79;31,81;35,15;0;89;United States;Northern America;"Elsevier Inc.";"2021-2025";"Cardiology and Cardiovascular Medicine (Q2)";"Medicine"
3174;21101128453;"ATS Scholar";journal;"26907097";"American Thoracic Society";Yes;No;0,607;Q2;14;77;215;1557;327;171;1,17;20,22;52,33;0;30;United States;Northern America;"American Thoracic Society";"2020-2024";"Critical Care and Intensive Care Medicine (Q2); Education (Q2); Pulmonary and Respiratory Medicine (Q2); Neurology (clinical) (Q3)";"Medicine; Social Sciences"
3175;21101065167;"F and S Science";journal;"2666335X";"Elsevier Inc.";No;No;0,606;Q2;10;44;139;1753;212;122;1,46;39,84;43,28;0;7;United States;Northern America;"Elsevier Inc.";"2020-2025";"Embryology (Q2); Medicine (miscellaneous) (Q2); Reproductive Medicine (Q2)";"Medicine"
3176;4700152404;"Journal of Ethnic and Cultural Diversity in Social Work";journal;"15313204";"Routledge";No;No;0,606;Q2;40;61;98;2845;220;97;2,06;46,64;74,05;2;30;United States;Northern America;"Routledge";"2000-2025";"Education (Q2); Health (social science) (Q2); Social Work (Q3)";"Social Sciences"
3177;13695;"Polymer Engineering and Science";journal;"15482634, 00323888";"John Wiley and Sons Inc";No;No;0,606;Q2;128;463;936;23067;3595;934;3,89;49,82;35,11;0;127;United States;Northern America;"John Wiley and Sons Inc";"1961-2025";"Chemistry (miscellaneous) (Q2); Materials Chemistry (Q2); Polymers and Plastics (Q2)";"Chemistry; Materials Science"
3178;19249;"Thoracic Surgery Clinics";journal;"15474127, 15585069";"W.B. Saunders";No;No;0,606;Q2;58;55;171;0;307;150;1,89;0,00;43,40;0;10;United States;Northern America;"W.B. Saunders";"2004-2025";"Medicine (miscellaneous) (Q2); Pulmonary and Respiratory Medicine (Q2); Surgery (Q2)";"Medicine"
3179;12798;"Perceptual and Motor Skills";journal;"1558688X, 00315125";"SAGE Publications Inc.";No;No;0,606;Q3;84;140;387;7054;866;384;2,00;50,39;38,29;0;8;United States;Northern America;"SAGE Publications Inc.";"1962-2025";"Experimental and Cognitive Psychology (Q3); Sensory Systems (Q3)";"Neuroscience; Psychology"
3180;16099;"Marine Biotechnology";journal;"14362236, 14362228";"Springer";No;No;0,605;Q2;97;106;266;6049;775;261;2,80;57,07;40,58;1;52;United States;Northern America;"Springer";"1999-2025";"Aquatic Science (Q2); Biotechnology (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
3181;21100332423;"APSIPA Transactions on Signal and Information Processing";journal;"20487703";"Oxford University Press";Yes;No;0,604;Q2;29;65;102;4057;382;96;3,98;62,42;27,98;0;4;United States;Northern America;"Oxford University Press";"2012-2025";"Information Systems (Q2); Signal Processing (Q2)";"Computer Science"
3182;25875;"Differential Equations";journal;"00122661, 16083083";"Pleiades Publishing";No;No;0,604;Q2;36;100;459;1735;327;459;0,73;17,35;21,28;0;0;United States;Northern America;"Pleiades Publishing";"1996-2024";"Analysis (Q2); Mathematics (miscellaneous) (Q2)";"Mathematics"
3183;4400151609;"Journal of Cardiovascular Medicine";journal;"15582027, 15582035";"Lippincott Williams and Wilkins Ltd.";No;No;0,604;Q2;59;122;502;3423;677;406;1,38;28,06;38,35;0;44;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"2006-2025";"Cardiology and Cardiovascular Medicine (Q2); Medicine (miscellaneous) (Q2)";"Medicine"
3184;16704;"Journal of ECT";journal;"10950680, 15334112";"Lippincott Williams and Wilkins Ltd.";No;No;0,604;Q2;72;138;246;3243;279;138;0,99;23,50;40,49;0;11;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1998-2025";"Medicine (miscellaneous) (Q2); Neuroscience (miscellaneous) (Q3); Psychiatry and Mental Health (Q3)";"Medicine; Neuroscience"
3185;12571;"Journal of Fusion Energy";journal;"15729591, 01640313";"Springer New York";No;No;0,604;Q2;36;33;97;1019;154;80;1,57;30,88;26,50;0;24;United States;Northern America;"Springer New York";"1981-1983, 1985-2025";"Nuclear and High Energy Physics (Q2); Nuclear Energy and Engineering (Q2)";"Energy; Physics and Astronomy"
3186;24296;"Clinics in Dermatology";journal;"18791131, 0738081X";"Elsevier Inc.";No;No;0,603;Q2;113;149;393;4972;765;350;1,72;33,37;52,99;0;55;United States;Northern America;"Elsevier Inc.";"1983-2025";"Dermatology (Q2)";"Medicine"
3187;21971;"Topics in Catalysis";journal;"15729028, 10225528";"Springer";No;No;0,603;Q2;126;188;440;12293;1381;419;3,03;65,39;39,46;0;89;United States;Northern America;"Springer";"1994-2025";"Chemistry (miscellaneous) (Q2); Catalysis (Q3)";"Chemical Engineering; Chemistry"
3188;13045;"Plasmid";journal;"0147619X, 10959890";"Academic Press Inc.";No;No;0,603;Q3;67;8;67;352;115;65;2,24;44,00;39,29;0;1;United States;Northern America;"Academic Press Inc.";"1977-2025";"Molecular Biology (Q3)";"Biochemistry, Genetics and Molecular Biology"
3189;23051;"ACM Transactions on Computational Logic";journal;"15293785, 1557945X";"Association for Computing Machinery (ACM)";No;No;0,602;Q2;54;26;84;1298;115;84;1,33;49,92;22,73;0;0;United States;Northern America;"Association for Computing Machinery (ACM)";"2000-2025";"Computational Mathematics (Q2); Computer Science (miscellaneous) (Q2); Logic (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
3190;21100218520;"International Journal of Hypertension";journal;"20900384, 20900392";"John Wiley and Sons Ltd";Yes;No;0,602;Q2;51;12;135;705;270;135;1,80;58,75;47,89;0;9;United States;Northern America;"John Wiley and Sons Ltd";"2010-2024";"Internal Medicine (Q2)";"Medicine"
3191;28062;"International Tax and Public Finance";journal;"15736970, 09275940";"Springer New York";No;No;0,602;Q2;58;86;162;3969;266;158;1,79;46,15;26,09;15;64;United States;Northern America;"Springer New York";"1994-2025";"Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
3192;16104;"Molecular Biotechnology";journal;"15590305, 10736085";"Springer";Yes;No;0,602;Q2;94;488;444;30358;1349;443;2,81;62,21;41,86;0;276;United States;Northern America;"Springer";"1994-2025";"Applied Microbiology and Biotechnology (Q2); Biotechnology (Q2); Biochemistry (Q3); Bioengineering (Q3); Molecular Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Immunology and Microbiology"
3193;21100862294;"Neuropsychopharmacology Reports";journal;"2574173X";"John Wiley &amp; Sons Inc.";Yes;No;0,602;Q2;24;108;218;3606;461;217;1,73;33,39;28,94;0;28;United States;Northern America;"John Wiley &amp; Sons Inc.";"2018-2025";"Clinical Psychology (Q2); Pharmacology (Q2); Pharmacology (medical) (Q2); Psychiatry and Mental Health (Q3)";"Medicine; Pharmacology, Toxicology and Pharmaceutics; Psychology"
3194;29785;"Russian Journal of Mathematical Physics";journal;"15556638, 10619208";"Pleiades Publishing";No;No;0,602;Q2;43;63;156;1296;210;155;1,64;20,57;20,00;0;0;United States;Northern America;"Pleiades Publishing";"1996-1997, 1999-2024";"Mathematical Physics (Q2); Statistical and Nonlinear Physics (Q2)";"Mathematics; Physics and Astronomy"
3195;21100202933;"Teaching Statistics";journal;"14679639, 0141982X";"Wiley-Blackwell";No;No;0,602;Q2;19;21;92;531;126;78;0,84;25,29;46,34;0;2;United States;Northern America;"Wiley-Blackwell";"1979-2025";"Education (Q2); Statistics and Probability (Q2)";"Mathematics; Social Sciences"
3196;21101098755;"Telemedicine Reports";journal;"26924366";"Mary Ann Liebert Inc.";Yes;No;0,602;Q2;10;48;104;1431;202;103;1,67;29,81;57,72;0;21;United States;Northern America;"Mary Ann Liebert Inc.";"2020-2025";"Computer Science Applications (Q2); Medicine (miscellaneous) (Q2); Health Informatics (Q3)";"Computer Science; Medicine"
3197;21101222661;"Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining";conference and proceedings;"2154817X";"Association for Computing Machinery";No;No;0,602;-;204;636;565;31650;2576;562;4,56;49,76;27,35;0;62;United States;Northern America;"Association for Computing Machinery";"2002-2003, 2005-2015, 2023-2024";"Information Systems; Software";"Computer Science"
3198;4700152294;"Activities, Adaptation and Aging";journal;"01924788";"Routledge";No;No;0,601;Q1;30;58;73;2945;246;66;3,73;50,78;75,26;1;13;United States;Northern America;"Routledge";"1981-1999, 2001-2025";"Health Professions (miscellaneous) (Q1); Geriatrics and Gerontology (Q3); Gerontology (Q3)";"Health Professions; Medicine; Nursing"
3199;20321;"International Journal of Offender Therapy and Comparative Criminology";journal;"0306624X, 15526933";"SAGE Publications Inc.";No;No;0,601;Q1;76;145;327;8625;707;322;2,02;59,48;53,85;0;68;United States;Northern America;"SAGE Publications Inc.";"1966-2025";"Arts and Humanities (miscellaneous) (Q1); Pathology and Forensic Medicine (Q2); Applied Psychology (Q3)";"Arts and Humanities; Medicine; Psychology"
3200;25750;"Acta Geologica Sinica (English Edition)";journal;"17556724, 10009515";"John Wiley and Sons Inc";No;No;0,601;Q2;77;111;459;8660;908;452;2,25;78,02;31,66;0;15;United States;Northern America;"John Wiley and Sons Inc";"1988-2025";"Geology (Q2)";"Earth and Planetary Sciences"
3201;21100256977;"Mathematical Control and Related Fields";journal;"21568499, 21568472";"American Institute of Mathematical Sciences";No;No;0,601;Q2;25;69;141;2273;190;139;1,36;32,94;19,86;0;3;United States;Northern America;"American Institute of Mathematical Sciences";"2011-2025";"Applied Mathematics (Q2); Control and Optimization (Q2)";"Mathematics"
3202;28690;"Advances in Cancer Research";book series;"21625557, 0065230X";"Academic Press Inc.";No;No;0,601;Q3;113;35;121;5405;858;4;3,74;154,43;28,17;0;32;United States;Northern America;"Academic Press Inc.";"1953-1956, 1958, 1962-1965, 1967, 1969-2024";"Cancer Research (Q3); Oncology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
3203;21100396641;"Proceedings International Conference on Automated Planning and Scheduling, ICAPS";conference and proceedings;"23340835, 23340843";"Association for the Advancement of Artificial Intelligence";No;No;0,601;-;41;83;246;2441;513;241;2,01;29,41;20,85;0;3;United States;Northern America;"Association for the Advancement of Artificial Intelligence";"2014-2024";"Artificial Intelligence; Computer Science Applications; Information Systems and Management";"Computer Science; Decision Sciences"
3204;5700158829;"Empirical Studies of the Arts";journal;"02762374";"SAGE Publications Inc.";No;No;0,600;Q1;23;34;56;2352;163;55;2,71;69,18;52,58;1;2;United States;Northern America;"SAGE Publications Inc.";"2010-2025";"Literature and Literary Theory (Q1); Music (Q1); Visual Arts and Performing Arts (Q1)";"Arts and Humanities"
